engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
tidesdb,GET,3982207.50,1.256,1.75,8.63,493.22,2.00,3.00,4.00,0.00,8009.00,844.43,1112.66,27.50,0.00,8.696,1.620,446.6,55.30,0.00,0.05,0.00
tidesdb,ITER,7010174.57,0.713,0,0,0,0,0,0,0,0,844.43,1112.66,27.50,0.00,8.696,1.620,446.6,55.30,0.00,0.05,0.00
tidesdb,GET,4200402.90,1.190,1.71,4.86,284.53,2.00,3.00,4.00,0.00,1917.00,844.21,1112.66,27.36,0.00,8.228,1.881,451.8,55.31,0.00,0.05,0.00
tidesdb,ITER,7089342.73,0.705,0,0,0,0,0,0,0,0,844.21,1112.66,27.36,0.00,8.228,1.881,451.8,55.31,0.00,0.05,0.00
rocksdb,GET,2410034.61,2.075,2.82,16.62,589.00,2.00,4.00,8.00,1.00,6185.00,201.73,1293.75,85.25,87.18,16.392,0.703,479.0,87.29,0.00,0.15,0.00
rocksdb,ITER,4469269.75,1.119,0,0,0,0,0,0,0,0,201.73,1293.75,85.25,87.18,16.392,0.703,479.0,87.29,0.00,0.15,0.00
rocksdb,GET,2416139.42,2.069,2.71,15.36,567.22,2.00,4.00,8.00,1.00,5393.00,203.45,1293.54,84.89,87.18,16.161,0.657,446.0,87.29,0.00,0.15,0.00
rocksdb,ITER,3761765.86,1.329,0,0,0,0,0,0,0,0,203.45,1293.54,84.89,87.18,16.161,0.657,446.0,87.29,0.00,0.15,0.00
rocksdb,GET,1968591.52,2.540,3.08,29.71,964.03,2.00,5.00,9.00,0.00,42357.00,206.20,1357.11,85.32,87.18,17.768,0.699,455.4,87.29,0.00,0.15,0.00
rocksdb,ITER,4621934.96,1.082,0,0,0,0,0,0,0,0,206.20,1357.11,85.32,87.18,17.768,0.699,455.4,87.29,0.00,0.15,0.00
tidesdb,PUT,5769548.09,0.867,1307.73,515.86,39.45,1236.00,2075.00,2559.00,614.00,11602.00,1181.86,2112.75,0.04,647.21,10.889,1.028,488.1,103.91,1.17,0.00,0.19
tidesdb,ITER,3176949.07,1.574,0,0,0,0,0,0,0,0,1181.86,2112.75,0.04,647.21,10.889,1.028,488.1,103.91,1.17,0.00,0.19
tidesdb,PUT,4888431.33,1.023,1610.01,1013.00,62.92,1386.00,2887.00,6202.00,646.00,18307.00,1170.87,2096.27,0.02,642.71,11.082,1.251,492.6,103.92,1.16,0.00,0.19
tidesdb,ITER,3378545.02,1.480,0,0,0,0,0,0,0,0,1170.87,2096.27,0.02,642.71,11.082,1.251,492.6,103.92,1.16,0.00,0.19
tidesdb,PUT,7282408.90,0.687,1055.39,293.96,27.85,1007.00,1518.00,1956.00,594.00,3285.00,1578.70,2278.90,0.01,617.84,7.782,1.086,403.8,103.91,1.12,0.00,0.19
tidesdb,ITER,3526461.15,1.418,0,0,0,0,0,0,0,0,1578.70,2278.90,0.01,617.84,7.782,1.086,403.8,103.91,1.12,0.00,0.19
rocksdb,PUT,2059939.29,2.427,3881.38,5127.88,132.11,3504.00,4823.00,6606.00,2137.00,113956.00,252.42,1294.16,0.10,876.96,12.441,1.349,297.2,213.47,1.59,0.00,0.39
rocksdb,ITER,2276806.90,2.196,0,0,0,0,0,0,0,0,252.42,1294.16,0.10,876.96,12.441,1.349,297.2,213.47,1.59,0.00,0.39
rocksdb,PUT,1829089.84,2.734,4371.07,17180.91,393.06,3568.00,4827.00,7530.00,2113.00,433270.00,224.16,1294.15,0.15,870.63,12.626,1.361,278.7,211.89,1.57,0.00,0.38
rocksdb,ITER,2205241.86,2.267,0,0,0,0,0,0,0,0,224.16,1294.15,0.15,870.63,12.626,1.361,278.7,211.89,1.57,0.00,0.38
rocksdb,PUT,1934857.23,2.584,4131.98,8062.41,195.12,3616.00,5019.00,7131.00,2234.00,208984.00,258.48,1294.18,0.13,876.03,12.379,1.295,290.8,215.78,1.58,0.00,0.39
rocksdb,ITER,2377505.00,2.103,0,0,0,0,0,0,0,0,258.48,1294.18,0.13,876.03,12.379,1.295,290.8,215.78,1.58,0.00,0.39
tidesdb,PUT,2209298.32,2.263,3322.03,1223.86,36.84,3209.00,5509.00,6315.00,945.00,7995.00,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,GET,1172729.17,4.264,6.30,5.40,85.61,6.00,14.00,20.00,0.00,3429.00,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,ITER,2530448.89,1.976,0,0,0,0,0,0,0,0,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,PUT,2121694.45,2.357,3505.02,1205.20,34.38,3434.00,5581.00,6731.00,758.00,9020.00,1288.42,1813.62,0.02,606.03,52.992,1.756,617.0,43.79,1.10,0.00,0.08
tidesdb,GET,1193556.13,4.189,6.14,4.98,81.04,6.00,14.00,19.00,0.00,1723.00,1288.42,1813.62,0.02,606.03,52.992,1.756,617.0,43.79,1.10,0.00,0.08
tidesdb,ITER,2592226.22,1.929,0,0,0,0,0,0,0,0,1288.42,1813.62,0.02,606.03,52.992,1.756,617.0,43.79,1.10,0.00,0.08
tidesdb,PUT,2221245.86,2.251,3427.32,1202.34,35.08,3358.00,5527.00,6531.00,792.00,9103.00,1279.23,1817.86,0.00,606.96,52.692,1.614,629.1,43.74,1.10,0.00,0.08
tidesdb,GET,1245495.04,4.014,6.08,6.76,111.15,5.00,14.00,20.00,0.00,4017.00,1279.23,1817.86,0.00,606.96,52.692,1.614,629.1,43.74,1.10,0.00,0.08
tidesdb,ITER,2544129.19,1.965,0,0,0,0,0,0,0,0,1279.23,1817.86,0.00,606.96,52.692,1.614,629.1,43.74,1.10,0.00,0.08
rocksdb,PUT,1707359.30,2.928,4681.40,1008.12,21.53,4624.00,6473.00,8037.00,1866.00,10795.00,319.86,1292.75,0.27,691.96,39.941,3.549,501.3,73.70,1.25,0.00,0.13
rocksdb,GET,1188910.79,4.206,6.10,4.23,69.36,6.00,13.00,19.00,0.00,1746.00,319.86,1292.75,0.27,691.96,39.941,3.549,501.3,73.70,1.25,0.00,0.13
rocksdb,ITER,4339328.55,1.152,0,0,0,0,0,0,0,0,319.86,1292.75,0.27,691.96,39.941,3.549,501.3,73.70,1.25,0.00,0.13
rocksdb,PUT,1668523.73,2.997,4791.44,3787.44,79.05,4593.00,6276.00,8374.00,2511.00,95309.00,350.44,1292.74,0.26,689.73,41.466,4.025,509.4,81.56,1.25,0.00,0.15
rocksdb,GET,1142108.44,4.378,6.53,5.33,81.67,6.00,14.00,20.00,0.00,3537.00,350.44,1292.74,0.26,689.73,41.466,4.025,509.4,81.56,1.25,0.00,0.15
rocksdb,ITER,4310731.31,1.160,0,0,0,0,0,0,0,0,350.44,1292.74,0.26,689.73,41.466,4.025,509.4,81.56,1.25,0.00,0.15
rocksdb,PUT,1658741.75,3.014,4818.65,1147.91,23.82,4697.00,6806.00,8365.00,2539.00,15643.00,351.38,1292.87,0.28,692.13,39.356,3.152,474.8,73.31,1.25,0.00,0.13
